	0
exp_with_feature_sel_1	0.725
exp_with_feature_sel_2	0.925
exp_with_feature_sel_3	0.825
exp_with_feature_sel_4	0.9
exp_with_feature_sel_5	0.825
exp_with_feature_sel_6	0.925
exp_with_feature_sel_7	0.775
exp_with_feature_sel_8	0.85
exp_with_feature_sel_9	0.825
exp_with_feature_sel_10	0.8
exp_with_feature_sel_11	0.875
exp_with_feature_sel_12	0.825
exp_with_feature_sel_13	0.7
exp_with_feature_sel_14	0.775
exp_with_feature_sel_15	0.75
exp_with_feature_sel_16	0.875
exp_with_feature_sel_17	0.775
exp_with_feature_sel_18	0.85
exp_with_feature_sel_19	0.85
exp_with_feature_sel_20	0.75
